node_id,vehicle_serial,gps_time,latitude,longitude,altitude,speed,heading
2025,PC3957P,2018-03-04T22:59:01.000Z,1.30995,103.772,28,14,192.07
2026,PA9558D,2018-03-04T22:59:01.000Z,1.3151,103.69067,25,0,77.53
2031,PC3785T,2018-03-04T22:59:01.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:01.000Z,1.294683,103.77486,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:01.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:01.000Z,1.29435,103.76955,10,0,21.16
2060,PC4071M,2018-03-04T22:59:01.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:02.000Z,1.309933,103.772,27,12,189.96
2026,PA9558D,2018-03-04T22:59:02.000Z,1.3151,103.69068,25,1,77.53
2031,PC3785T,2018-03-04T22:59:02.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:02.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:02.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:02.000Z,1.29435,103.76955,10,0,21.16
2060,PC4071M,2018-03-04T22:59:02.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:03.000Z,1.3099,103.77198,27,10,190.57
2026,PA9558D,2018-03-04T22:59:03.000Z,1.315083,103.69068,25,1,77.53
2031,PC3785T,2018-03-04T22:59:03.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:03.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:03.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:03.000Z,1.29435,103.76955,10,0,21.16
2060,PC4071M,2018-03-04T22:59:03.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:04.000Z,1.309883,103.77198,27,9,189.78
2026,PA9558D,2018-03-04T22:59:04.000Z,1.315083,103.69067,26,2,77.53
2031,PC3785T,2018-03-04T22:59:04.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:04.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:04.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:04.000Z,1.29435,103.76955,10,0,21.16
2060,PC4071M,2018-03-04T22:59:04.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:05.000Z,1.309867,103.77198,27,8,189.05
2026,PA9558D,2018-03-04T22:59:05.000Z,1.315083,103.69067,26,2,77.53
2031,PC3785T,2018-03-04T22:59:05.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:05.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:05.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:05.000Z,1.29435,103.76955,10,0,21.16
2060,PC4071M,2018-03-04T22:59:05.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:06.000Z,1.30985,103.77198,27,7,188.25
