time,busstop,nextArrivalTime,nextPassengers,passengers
4/9/2018 7:52,LT13,13,-,-
4/9/2018 7:52,COM2,15,-,-
4/9/2018 7:52,KR-MRT,11,-,-
4/9/2018 7:52,LT29,14,-,-
4/9/2018 7:52,UHALL,8,-,-
4/9/2018 7:52,PGP12-OPP,22,-,-
4/9/2018 7:52,CENLIB,11,-,-
4/9/2018 7:52,STAFFCLUB-OPP,8,-,-
4/9/2018 7:52,AS7,14,-,-
4/9/2018 7:52,YIH,9,-,-
4/9/2018 7:52,BIZ2,21,-,-
4/9/2018 7:53,PGP7,9,-,-
4/9/2018 7:53,PGPT,7,-,-
4/9/2018 7:56,LT13,7,-,-
4/9/2018 7:56,COM2,9,-,-
4/9/2018 7:56,KR-MRT,7,-,-
4/9/2018 7:56,LT29,10,-,-
4/9/2018 7:56,UHALL,12,-,-
4/9/2018 7:56,PGP12-OPP,11,-,-
4/9/2018 7:56,CENLIB,17,-,-
4/9/2018 7:56,STAFFCLUB-OPP,14,-,-
4/9/2018 7:56,AS7,7,-,-
4/9/2018 7:56,YIH,15,-,-
4/9/2018 7:56,BIZ2,11,-,-
4/9/2018 7:56,PGP7,12,-,-
4/9/2018 7:56,PGPT,11,-,-
4/9/2018 7:59,LT13,11,-,-
4/9/2018 7:59,COM2,14,-,-
4/9/2018 7:59,KR-MRT,11,-,-
4/9/2018 7:59,LT29,4,-,-
4/9/2018 7:59,UHALL,7,-,-
4/9/2018 7:59,PGP12-OPP,11,-,-
4/9/2018 7:59,CENLIB,9,-,-
4/9/2018 7:59,STAFFCLUB-OPP,7,-,-
4/9/2018 7:59,AS7,13,-,-
4/9/2018 7:59,YIH,8,-,-
4/9/2018 7:59,BIZ2,10,-,-
4/9/2018 7:59,PGP7,11,-,-
4/9/2018 7:59,PGPT,8,-,-
4/9/2018 8:02,LT13,10,-,-
4/9/2018 8:02,COM2,16,-,-
4/9/2018 8:02,KR-MRT,8,-,-
4/9/2018 8:02,LT29,11,-,-
4/9/2018 8:02,UHALL,13,-,-
4/9/2018 8:02,PGP12-OPP,24,-,-
4/9/2018 8:02,CENLIB,9,-,-
4/9/2018 8:02,STAFFCLUB-OPP,9,-,-
4/9/2018 8:02,AS7,14,-,-
4/9/2018 8:03,YIH,7,-,-
4/9/2018 8:03,BIZ2,18,-,-
4/9/2018 8:03,PGP7,23,-,-
4/9/2018 8:03,PGPT,12,-,-
4/9/2018 8:06,LT13,7,-,-
4/9/2018 8:06,COM2,9,-,-
4/9/2018 8:06,KR-MRT,12,-,-
4/9/2018 8:06,LT29,5,-,-
4/9/2018 8:06,UHALL,8,-,-
4/9/2018 8:06,PGP12-OPP,12,-,-
4/9/2018 8:06,CENLIB,10,-,-
4/9/2018 8:06,STAFFCLUB-OPP,7,-,-
4/9/2018 8:06,AS7,8,-,-
4/9/2018 8:06,YIH,9,-,-
4/9/2018 8:06,BIZ2,11,-,-
4/9/2018 8:06,PGP7,12,-,-
4/9/2018 8:06,PGPT,9,-,-
4/9/2018 8:09,LT13,13,-,-
4/9/2018 8:09,COM2,16,-,-
4/9/2018 8:09,KR-MRT,9,-,-
4/9/2018 8:09,LT29,12,-,-
4/9/2018 8:09,UHALL,6,-,-
4/9/2018 8:09,PGP12-OPP,10,-,-
4/9/2018 8:09,CENLIB,8,-,-
4/9/2018 8:09,STAFFCLUB-OPP,7,-,-
4/9/2018 8:09,AS7,11,-,-
4/9/2018 8:09,YIH,8,-,-
4/9/2018 8:09,BIZ2,9,-,-
4/9/2018 8:09,PGP7,10,-,-
4/9/2018 8:09,PGPT,13,-,-
4/9/2018 8:12,LT13,6,-,-
4/9/2018 8:12,COM2,8,-,-
4/9/2018 8:12,KR-MRT,13,-,-
4/9/2018 8:12,LT29,9,-,-
4/9/2018 8:12,UHALL,11,-,-
4/9/2018 8:12,PGP12-OPP,11,-,-
4/9/2018 8:12,CENLIB,4,-,-
4/9/2018 8:12,STAFFCLUB-OPP,13,-,-
4/9/2018 8:12,AS7,6,-,-
4/9/2018 8:12,YIH,20,-,-
4/9/2018 8:13,BIZ2,10,-,-
4/9/2018 8:13,PGP7,11,-,-
4/9/2018 8:13,PGPT,9,-,-
4/9/2018 8:16,LT13,11,-,-
4/9/2018 8:16,COM2,15,-,-
4/9/2018 8:16,KR-MRT,9,-,-
4/9/2018 8:16,LT29,12,-,-
4/9/2018 8:16,UHALL,14,-,-
4/9/2018 8:16,PGP12-OPP,7,-,-
4/9/2018 8:16,CENLIB,10,-,-
4/9/2018 8:16,STAFFCLUB-OPP,16,-,-
4/9/2018 8:16,AS7,13,-,-
4/9/2018 8:16,YIH,17,-,-
4/9/2018 8:16,BIZ2,6,-,-
4/9/2018 8:16,PGP7,7,-,-
4/9/2018 8:16,PGPT,6,-,-
4/9/2018 8:19,LT13,18,-,-
4/9/2018 8:19,COM2,10,-,-
4/9/2018 8:19,KR-MRT,14,-,-
4/9/2018 8:19,LT29,9,-,-
4/9/2018 8:19,UHALL,11,-,-
4/9/2018 8:19,PGP12-OPP,4,-,-
4/9/2018 8:19,CENLIB,16,-,-
4/9/2018 8:19,STAFFCLUB-OPP,13,-,-
4/9/2018 8:19,AS7,19,-,-
4/9/2018 8:19,YIH,14,-,-
4/9/2018 8:19,BIZ2,12,-,-
4/9/2018 8:19,PGP7,4,-,-
4/9/2018 8:19,PGPT,11,-,-
