labels BIZ_2 KR_MRT UHall LT13 PGPR Opp_PGP_Hse_No_12 YIH LT29 Central_Library PGP_Hse_No_7 COM2 AS7 PGP_PT Opp_UHC
BIZ_2 5 0 0 1 1 1 2 2 2 0 0 5 45 1
KR_MRT 0 0 0 2 0 0 0 0 0 0 0 0 13 0
UHall 19 0 1 1 5 9 0 16 1 0 3 13 66 2
LT13 0 0 0 0 0 1 2 0 2 0 0 3 54 0
PGPR 2 0 1 2 0 1 2 1 5 0 7 4 13 3
Opp_PGP_Hse_No_12 1 0 0 0 2 0 0 0 0 0 0 0 32 0
YIH 5 0 0 7 3 5 0 0 17 0 34 47 98 2
LT29 17 0 8 0 5 10 0 10 0 0 20 30 123 9
Central_Library 11 0 0 3 1 0 4 0 2 0 2 7 185 0
PGP_Hse_No_7 0 0 0 0 0 0 0 0 0 0 0 0 0 0
COM2 8 0 2 2 4 1 5 5 1 0 13 7 69 3
AS7 11 0 4 7 1 2 11 7 19 0 24 11 148 1
PGP_PT 5 0 8 9 3 1 27 25 13 0 12 17 82 15
Opp_UHC 18 0 5 0 3 27 3 23 0 0 0 10 102 2
