labels A B C D E F G H I J K L M N
A 5 0 0 1 1 1 2 2 2 0 0 5 45 1
B 0 0 0 2 0 0 0 0 0 0 0 0 13 0
C 19 0 1 1 5 9 0 16 1 0 3 13 66 2
D 0 0 0 0 0 1 2 0 2 0 0 3 54 0
E 2 0 1 2 0 1 2 1 5 0 7 4 13 3
F 1 0 0 0 2 0 0 0 0 0 0 0 32 0
G 5 0 0 7 3 5 0 0 17 0 34 47 98 2
H 17 0 8 0 5 10 0 10 0 0 20 30 123 9
I 11 0 0 3 1 0 4 0 2 0 2 7 185 0
J 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K 8 0 2 2 4 1 5 5 1 0 13 7 69 3
L 11 0 4 7 1 2 11 7 19 0 24 11 148 1
M 5 0 8 9 3 1 27 25 13 0 12 17 82 15
N 18 0 5 0 3 27 3 23 0 0 0 10 102 2
